Invoice ID,Branch,City,Customer type,Gender,Rating
483-71-1164,C,Rama 9,Normal,Female,6
597-78-7908,C,Rama 9,Normal,Male,7
700-81-1757,A,Sukhumvit,Normal,Female,9
354-39-5160,A,Sukhumvit,Member,Female,10
241-72-9525,B,Rama 2,Normal,Male,9
575-30-8091,A,Sukhumvit,Normal,Male,10
731-81-9469,C,Rama 9,Member,Female,6
280-17-4359,C,Rama 9,Member,Male,9
338-65-2210,C,Rama 9,Member,Female,10
488-25-4221,C,Rama 9,Member,Female,9
239-10-7476,A,Sukhumvit,Normal,Female,8
458-41-1477,C,Rama 9,Normal,Female,10
685-64-1609,A,Sukhumvit,Member,Female,10
568-90-5112,C,Rama 9,Normal,Male,6
262-47-2794,B,Rama 2,Member,Male,7
238-49-0436,A,Sukhumvit,Normal,Male,5
608-96-3517,B,Rama 2,Member,Female,5
584-86-7256,C,Rama 9,Member,Male,8
746-94-0204,A,Sukhumvit,Normal,Male,8
214-17-6927,C,Rama 9,Normal,Female,10
400-89-4171,C,Rama 9,Normal,Female,10
782-95-9291,A,Sukhumvit,Member,Male,9
279-74-2924,B,Rama 2,Member,Male,7
307-85-2293,B,Rama 2,Normal,Male,10
743-04-1105,B,Rama 2,Member,Male,6
423-57-2993,B,Rama 2,Normal,Male,10
894-41-5205,C,Rama 9,Normal,Female,9
275-28-0149,A,Sukhumvit,Normal,Male,6
101-17-6199,A,Sukhumvit,Normal,Male,7
423-80-0988,C,Rama 9,Normal,Male,7
548-46-9322,B,Rama 2,Normal,Male,6
505-02-0892,B,Rama 2,Member,Male,6
234-65-2137,C,Rama 9,Normal,Male,5
687-47-8271,A,Sukhumvit,Normal,Male,9
796-32-9050,A,Sukhumvit,Normal,Male,7
105-31-1824,A,Sukhumvit,Member,Male,9
249-42-3782,A,Sukhumvit,Normal,Male,6
316-55-4634,B,Rama 2,Member,Male,10
733-33-4967,C,Rama 9,Normal,Male,7
608-27-6295,B,Rama 2,Member,Male,10
414-12-7047,B,Rama 2,Normal,Male,9
827-26-2100,A,Sukhumvit,Member,Male,9
175-54-2529,A,Sukhumvit,Member,Male,10
139-52-2867,C,Rama 9,Normal,Female,5
407-63-8975,A,Sukhumvit,Normal,Male,5
342-65-4817,C,Rama 9,Member,Male,10
130-98-8941,C,Rama 9,Normal,Male,6
434-83-9547,C,Rama 9,Member,Male,8
851-28-6367,A,Sukhumvit,Member,Male,8
824-88-3614,C,Rama 9,Normal,Male,6
586-25-0848,A,Sukhumvit,Normal,Female,7
895-66-0685,B,Rama 2,Member,Male,8
305-14-0245,B,Rama 2,Member,Female,8
732-04-5373,B,Rama 2,Member,Male,7
400-60-7251,A,Sukhumvit,Normal,Male,10
593-65-1552,C,Rama 9,Normal,Female,6
284-34-9626,B,Rama 2,Normal,Female,8
437-58-8131,B,Rama 2,Normal,Female,5
286-43-6208,C,Rama 9,Normal,Female,10
641-43-2399,B,Rama 2,Normal,Male,6
831-07-6050,A,Sukhumvit,Normal,Male,10
556-86-3144,C,Rama 9,Member,Female,5
848-24-9445,C,Rama 9,Member,Male,5
856-22-8149,A,Sukhumvit,Normal,Female,7
699-01-4164,C,Rama 9,Normal,Male,9
420-11-4919,C,Rama 9,Member,Female,6
606-80-4905,C,Rama 9,Member,Female,7
542-41-0513,B,Rama 2,Member,Female,7
426-39-2418,C,Rama 9,Normal,Male,10
875-46-5808,B,Rama 2,Member,Male,9
394-43-4238,B,Rama 2,Member,Male,6
749-24-1565,A,Sukhumvit,Normal,Female,8
672-51-8681,C,Rama 9,Member,Female,10
263-87-5680,C,Rama 9,Member,Female,8
573-58-9734,B,Rama 2,Normal,Female,6
817-69-8206,B,Rama 2,Normal,Female,7
888-02-0338,A,Sukhumvit,Normal,Male,6
677-11-0152,C,Rama 9,Normal,Female,9
142-63-6033,B,Rama 2,Normal,Male,5
656-16-1063,B,Rama 2,Normal,Male,5
891-58-8335,B,Rama 2,Member,Female,7
802-43-8934,A,Sukhumvit,Normal,Male,9
560-30-5617,B,Rama 2,Normal,Female,9
319-74-2561,A,Sukhumvit,Member,Female,6
549-03-9315,B,Rama 2,Normal,Male,9
790-29-1172,B,Rama 2,Normal,Female,8
239-36-3640,B,Rama 2,Normal,Male,7
468-01-2051,B,Rama 2,Normal,Male,6
389-25-3394,C,Rama 9,Normal,Male,10
279-62-1445,C,Rama 9,Member,Female,9
213-72-6612,A,Sukhumvit,Normal,Male,7
746-68-6593,C,Rama 9,Member,Female,10
836-82-5858,B,Rama 2,Member,Male,4
583-72-1480,C,Rama 9,Member,Male,10
466-61-5506,B,Rama 2,Member,Female,6
721-86-6247,A,Sukhumvit,Normal,Female,8
289-65-5721,B,Rama 2,Normal,Female,7
545-46-3100,B,Rama 2,Member,Female,9
418-02-5978,B,Rama 2,Normal,Female,8
269-04-5750,B,Rama 2,Member,Male,7
157-13-5295,A,Sukhumvit,Member,Male,7
645-78-8093,A,Sukhumvit,Normal,Female,5
211-30-9270,C,Rama 9,Normal,Male,5
755-12-3214,C,Rama 9,Member,Female,9
346-84-3103,B,Rama 2,Member,Female,5
478-06-7835,A,Sukhumvit,Normal,Male,5
540-11-4336,A,Sukhumvit,Normal,Male,6
448-81-5016,A,Sukhumvit,Normal,Male,6
142-72-4741,C,Rama 9,Member,Male,6
217-58-1179,A,Sukhumvit,Member,Male,5
376-02-8238,B,Rama 2,Normal,Male,9
530-90-9855,A,Sukhumvit,Member,Male,6
866-05-7563,B,Rama 2,Member,Female,5
604-70-6476,A,Sukhumvit,Member,Male,7
799-71-1548,A,Sukhumvit,Member,Male,9
785-13-7708,B,Rama 2,Normal,Male,5
845-51-0542,B,Rama 2,Member,Male,7
662-47-5456,C,Rama 9,Member,Male,9
883-17-4236,C,Rama 9,Normal,Female,8
290-68-2984,A,Sukhumvit,Normal,Male,6
704-11-6354,A,Sukhumvit,Member,Male,9
110-48-7033,B,Rama 2,Member,Male,9
366-93-0948,A,Sukhumvit,Member,Male,10
729-09-9681,A,Sukhumvit,Member,Male,9
151-16-1484,A,Sukhumvit,Member,Male,7
380-94-4661,C,Rama 9,Member,Male,7
850-41-9669,A,Sukhumvit,Normal,Female,7
821-07-3596,C,Rama 9,Normal,Female,6
655-85-5130,B,Rama 2,Member,Female,6
447-15-7839,A,Sukhumvit,Member,Female,5
154-74-7179,B,Rama 2,Normal,Male,8
253-12-6086,A,Sukhumvit,Member,Female,9
808-65-0703,C,Rama 9,Normal,Male,7
571-94-0759,B,Rama 2,Member,Female,10
144-51-6085,A,Sukhumvit,Member,Male,5
731-14-2199,A,Sukhumvit,Member,Female,7
783-09-1637,B,Rama 2,Normal,Female,7
687-15-1097,C,Rama 9,Member,Female,10
126-54-1082,A,Sukhumvit,Member,Female,9
633-91-1052,A,Sukhumvit,Normal,Female,6
477-24-6490,B,Rama 2,Normal,Female,8
566-19-5475,B,Rama 2,Normal,Male,7
526-86-8552,C,Rama 9,Member,Female,8
376-56-3573,C,Rama 9,Normal,Female,7
537-72-0426,C,Rama 9,Member,Male,6
828-61-5674,A,Sukhumvit,Member,Male,10
136-08-6195,A,Sukhumvit,Normal,Female,7
523-38-0215,C,Rama 9,Normal,Male,8
490-29-1201,A,Sukhumvit,Normal,Female,7
667-92-0055,A,Sukhumvit,Member,Male,9
565-17-3836,A,Sukhumvit,Member,Female,10
498-41-1961,B,Rama 2,Normal,Male,8
593-95-4461,C,Rama 9,Member,Male,7
226-71-3580,C,Rama 9,Normal,Female,10
283-79-9594,B,Rama 2,Normal,Female,6
430-60-3493,A,Sukhumvit,Member,Female,5
139-20-0155,B,Rama 2,Member,Male,7
558-80-4082,C,Rama 9,Normal,Male,6
278-97-7759,A,Sukhumvit,Member,Female,5
316-68-6352,A,Sukhumvit,Member,Female,8
585-03-5943,B,Rama 2,Normal,Male,6
211-05-0490,C,Rama 9,Member,Female,8
727-75-6477,C,Rama 9,Normal,Male,7
744-02-5987,A,Sukhumvit,Member,Male,6
307-83-9164,A,Sukhumvit,Member,Male,5
779-06-0012,C,Rama 9,Member,Female,8
446-47-6729,C,Rama 9,Normal,Male,7
573-10-3877,B,Rama 2,Member,Male,5
735-06-4124,C,Rama 9,Normal,Male,5
439-54-7422,A,Sukhumvit,Normal,Female,5
396-90-2219,B,Rama 2,Normal,Female,9
411-77-0180,A,Sukhumvit,Member,Male,5
286-01-5402,A,Sukhumvit,Normal,Female,10
803-17-8013,A,Sukhumvit,Member,Female,5
512-98-1403,A,Sukhumvit,Member,Female,5
848-42-2560,A,Sukhumvit,Normal,Female,8
532-59-7201,B,Rama 2,Member,Male,6
181-94-6432,C,Rama 9,Member,Male,10
870-76-1733,A,Sukhumvit,Member,Female,5
423-64-4619,A,Sukhumvit,Member,Female,5
227-07-4446,C,Rama 9,Member,Female,5
174-36-3675,C,Rama 9,Member,Male,6
428-83-5800,C,Rama 9,Member,Female,8
603-07-0961,C,Rama 9,Member,Male,5
704-20-4138,C,Rama 9,Member,Female,9
787-15-1757,C,Rama 9,Member,Male,9
649-11-3678,C,Rama 9,Normal,Female,6
622-20-1945,C,Rama 9,Normal,Female,9
372-94-8041,A,Sukhumvit,Normal,Male,10
563-91-7120,A,Sukhumvit,Normal,Female,7
746-54-5508,A,Sukhumvit,Normal,Male,10
276-54-0879,B,Rama 2,Normal,Male,7
815-11-1168,A,Sukhumvit,Member,Male,6
719-76-3868,C,Rama 9,Member,Male,9
730-61-8757,B,Rama 2,Member,Male,4
340-66-0321,A,Sukhumvit,Member,Male,8
868-81-1752,B,Rama 2,Normal,Male,7
634-97-8956,A,Sukhumvit,Normal,Male,10
566-71-1091,A,Sukhumvit,Normal,Male,6
442-48-3607,A,Sukhumvit,Member,Male,8
835-16-0096,C,Rama 9,Member,Male,9
527-09-6272,A,Sukhumvit,Member,Female,10
898-04-2717,A,Sukhumvit,Normal,Male,8
692-27-8933,B,Rama 2,Normal,Female,6
633-09-3463,C,Rama 9,Normal,Female,10
374-17-3652,B,Rama 2,Member,Female,9
378-07-7001,B,Rama 2,Member,Male,8
433-75-6987,B,Rama 2,Member,Female,9
873-95-4984,B,Rama 2,Member,Female,8
416-13-5917,C,Rama 9,Normal,Female,10
150-89-8043,A,Sukhumvit,Normal,Male,7
135-84-8019,A,Sukhumvit,Normal,Female,8
441-94-7118,A,Sukhumvit,Member,Male,8
725-96-3778,C,Rama 9,Member,Female,5
531-80-1784,A,Sukhumvit,Normal,Male,6
400-45-1220,B,Rama 2,Normal,Female,5
860-79-0874,C,Rama 9,Member,Female,7
834-61-8124,A,Sukhumvit,Normal,Male,6
115-99-4379,B,Rama 2,Member,Female,9
565-67-6697,B,Rama 2,Member,Male,5
320-49-6392,C,Rama 9,Normal,Female,9
889-04-9723,B,Rama 2,Member,Female,8
632-90-0281,C,Rama 9,Normal,Female,10
554-42-2417,C,Rama 9,Normal,Female,6
453-63-6187,B,Rama 2,Normal,Male,7
578-80-7669,B,Rama 2,Normal,Male,6
612-36-5536,A,Sukhumvit,Member,Male,8
605-72-4132,C,Rama 9,Normal,Female,10
471-41-2823,C,Rama 9,Normal,Male,8
462-67-9126,A,Sukhumvit,Normal,Male,8
272-27-9238,C,Rama 9,Normal,Female,8
834-25-9262,C,Rama 9,Normal,Female,10
122-61-9553,C,Rama 9,Normal,Female,6
468-88-0009,A,Sukhumvit,Member,Male,6
613-59-9758,C,Rama 9,Normal,Female,6
254-31-0042,A,Sukhumvit,Member,Male,8
201-86-2184,B,Rama 2,Member,Female,10
261-12-8671,B,Rama 2,Normal,Female,5
730-70-9830,C,Rama 9,Normal,Female,6
382-25-8917,C,Rama 9,Normal,Male,9
422-29-8786,A,Sukhumvit,Normal,Female,10
667-23-5919,A,Sukhumvit,Member,Female,7
843-01-4703,B,Rama 2,Member,Female,10
743-88-1662,C,Rama 9,Normal,Male,9
595-86-2894,C,Rama 9,Member,Male,10
182-69-8360,B,Rama 2,Normal,Female,4
289-15-7034,A,Sukhumvit,Member,Male,8
462-78-5240,C,Rama 9,Normal,Female,5
868-52-7573,B,Rama 2,Normal,Female,10
153-58-4872,C,Rama 9,Member,Female,5
662-72-2873,A,Sukhumvit,Normal,Female,10
525-88-7307,B,Rama 2,Member,Male,6
689-16-9784,C,Rama 9,Normal,Male,6
725-56-0833,A,Sukhumvit,Normal,Female,10
394-41-0748,C,Rama 9,Member,Female,10
596-42-3999,B,Rama 2,Normal,Male,7
541-89-9860,C,Rama 9,Member,Female,9
173-82-9529,B,Rama 2,Normal,Female,10
563-36-9814,A,Sukhumvit,Member,Male,8
308-47-4913,A,Sukhumvit,Member,Female,7
885-17-6250,A,Sukhumvit,Normal,Female,8
726-27-2396,A,Sukhumvit,Normal,Female,5
316-01-3952,A,Sukhumvit,Normal,Female,5
760-54-1821,B,Rama 2,Normal,Male,6
793-10-3222,B,Rama 2,Member,Female,9
346-12-3257,B,Rama 2,Member,Male,8
110-05-6330,C,Rama 9,Normal,Female,10
651-61-0874,C,Rama 9,Normal,Male,7
236-86-3015,C,Rama 9,Member,Male,10
831-64-0259,B,Rama 2,Normal,Female,10
587-03-7455,C,Rama 9,Member,Female,5
882-40-4577,A,Sukhumvit,Member,Male,8
732-67-5346,A,Sukhumvit,Normal,Male,8
725-32-9708,B,Rama 2,Member,Female,5
256-08-8343,A,Sukhumvit,Normal,Female,6
372-26-1506,C,Rama 9,Normal,Female,6
244-08-0162,B,Rama 2,Normal,Female,6
569-71-4390,B,Rama 2,Normal,Male,7
132-23-6451,A,Sukhumvit,Member,Male,8
696-90-2548,A,Sukhumvit,Normal,Male,7
472-15-9636,A,Sukhumvit,Normal,Male,10
268-03-6164,B,Rama 2,Normal,Male,8
750-57-9686,C,Rama 9,Normal,Female,9
186-09-3669,C,Rama 9,Member,Female,10
848-07-1692,B,Rama 2,Normal,Female,9
745-71-3520,A,Sukhumvit,Member,Female,9
266-76-6436,C,Rama 9,Member,Female,8
740-22-2500,C,Rama 9,Normal,Female,10
271-88-8734,C,Rama 9,Member,Female,9
301-81-8610,B,Rama 2,Member,Male,7
489-64-4354,C,Rama 9,Normal,Male,5
198-84-7132,B,Rama 2,Member,Male,7
269-10-8440,A,Sukhumvit,Member,Male,9
650-98-6268,B,Rama 2,Member,Female,8
741-73-3559,B,Rama 2,Normal,Male,7
325-77-6186,A,Sukhumvit,Member,Female,8
286-75-7818,B,Rama 2,Normal,Male,7
574-57-9721,C,Rama 9,Normal,Male,6
459-50-7686,A,Sukhumvit,Normal,Female,7
616-87-0016,B,Rama 2,Normal,Male,10
837-55-7229,B,Rama 2,Normal,Female,7
751-69-0068,C,Rama 9,Normal,Male,9
257-73-1380,C,Rama 9,Member,Male,10
345-08-4992,A,Sukhumvit,Normal,Male,8
549-96-4200,C,Rama 9,Member,Male,7
810-60-6344,C,Rama 9,Normal,Female,7
450-28-2866,C,Rama 9,Member,Male,9
394-30-3170,B,Rama 2,Member,Female,5
138-17-5109,A,Sukhumvit,Member,Female,7
192-98-7397,C,Rama 9,Normal,Male,10
301-11-9629,A,Sukhumvit,Normal,Female,10
390-80-5128,B,Rama 2,Member,Female,10
235-46-8343,C,Rama 9,Member,Male,9
453-12-7053,C,Rama 9,Normal,Male,7
296-11-7041,B,Rama 2,Member,Female,6
449-27-2918,B,Rama 2,Member,Female,10
891-01-7034,B,Rama 2,Normal,Female,7
744-09-5786,B,Rama 2,Normal,Male,8
727-17-0390,A,Sukhumvit,Normal,Female,5
568-88-3448,A,Sukhumvit,Normal,Male,6
187-83-5490,A,Sukhumvit,Member,Male,5
767-54-1907,B,Rama 2,Member,Female,7
710-46-4433,B,Rama 2,Member,Female,5
533-33-5337,B,Rama 2,Normal,Male,7
325-90-8763,C,Rama 9,Member,Female,8
729-46-7422,C,Rama 9,Normal,Male,8
639-76-1242,C,Rama 9,Normal,Male,5
234-03-4040,B,Rama 2,Member,Female,9
326-71-2155,C,Rama 9,Normal,Female,7
320-32-8842,C,Rama 9,Member,Female,7
470-32-9057,A,Sukhumvit,Member,Male,10
878-30-2331,C,Rama 9,Member,Female,8
440-59-5691,C,Rama 9,Member,Female,8
554-53-3790,B,Rama 2,Normal,Male,5
746-19-0921,C,Rama 9,Normal,Male,8
233-34-0817,C,Rama 9,Member,Female,9
767-05-1286,C,Rama 9,Member,Female,6
340-21-9136,A,Sukhumvit,Member,Female,10
405-31-3305,A,Sukhumvit,Member,Male,6
731-59-7531,B,Rama 2,Member,Male,5
676-39-6028,A,Sukhumvit,Member,Female,7
502-05-1910,A,Sukhumvit,Normal,Male,7
485-30-8700,A,Sukhumvit,Normal,Female,5
598-47-9715,C,Rama 9,Normal,Male,5
701-69-8742,B,Rama 2,Normal,Male,7
575-67-1508,A,Sukhumvit,Normal,Male,7
541-08-3113,C,Rama 9,Normal,Male,9
246-11-3901,C,Rama 9,Normal,Female,7
674-15-9296,A,Sukhumvit,Normal,Male,5
305-18-3552,B,Rama 2,Member,Male,6
493-65-6248,C,Rama 9,Member,Female,7
438-01-4015,B,Rama 2,Member,Female,7
709-58-4068,B,Rama 2,Normal,Female,8
795-49-7276,A,Sukhumvit,Normal,Male,9
556-72-8512,C,Rama 9,Normal,Male,5
627-95-3243,B,Rama 2,Member,Female,10
686-41-0932,B,Rama 2,Normal,Female,9
510-09-5628,A,Sukhumvit,Member,Female,8
608-04-3797,B,Rama 2,Member,Female,9
148-82-2527,C,Rama 9,Member,Female,9
437-53-3084,B,Rama 2,Normal,Male,8
632-32-4574,B,Rama 2,Normal,Male,6
556-97-7101,C,Rama 9,Normal,Female,9
862-59-8517,C,Rama 9,Normal,Female,7
401-18-8016,B,Rama 2,Member,Female,9
420-18-8989,A,Sukhumvit,Member,Female,10
277-63-2961,B,Rama 2,Member,Male,6
573-98-8548,C,Rama 9,Member,Female,10
620-02-2046,C,Rama 9,Normal,Male,9
282-35-2475,B,Rama 2,Normal,Female,7
511-54-3087,B,Rama 2,Normal,Male,10
726-29-6793,A,Sukhumvit,Member,Male,10
387-49-4215,B,Rama 2,Member,Female,7
862-17-9201,B,Rama 2,Normal,Female,8
291-21-5991,B,Rama 2,Member,Male,7
602-80-9671,C,Rama 9,Member,Female,6
347-72-6115,B,Rama 2,Member,Female,7
209-61-0206,A,Sukhumvit,Normal,Female,7
595-27-4851,A,Sukhumvit,Normal,Female,10
189-52-0236,A,Sukhumvit,Normal,Male,8
503-07-0930,C,Rama 9,Member,Male,9
413-20-6708,C,Rama 9,Member,Female,9
425-85-2085,B,Rama 2,Member,Male,10
521-18-7827,C,Rama 9,Member,Male,9
220-28-1851,A,Sukhumvit,Normal,Male,10
600-38-9738,C,Rama 9,Member,Male,5
734-91-1155,B,Rama 2,Normal,Female,8
451-28-5717,C,Rama 9,Member,Female,8
609-81-8548,A,Sukhumvit,Member,Female,6
133-14-7229,C,Rama 9,Normal,Male,5
534-01-4457,A,Sukhumvit,Normal,Male,8
719-89-8991,A,Sukhumvit,Member,Female,8
286-62-6248,B,Rama 2,Normal,Male,9
339-38-9982,B,Rama 2,Member,Male,7
827-44-5872,B,Rama 2,Member,Female,7
827-77-7633,A,Sukhumvit,Normal,Male,10
287-83-1405,A,Sukhumvit,Normal,Male,7
435-13-4908,A,Sukhumvit,Member,Male,8
857-67-9057,B,Rama 2,Normal,Male,9
236-27-1144,C,Rama 9,Normal,Female,9
892-05-6689,A,Sukhumvit,Normal,Female,7
583-41-4548,C,Rama 9,Normal,Male,8
339-12-4827,B,Rama 2,Member,Female,5
643-38-7867,A,Sukhumvit,Normal,Male,7
308-81-0538,A,Sukhumvit,Normal,Female,5
358-88-9262,C,Rama 9,Member,Female,6
460-35-4390,A,Sukhumvit,Normal,Male,10
343-87-0864,C,Rama 9,Member,Male,8
173-50-1108,B,Rama 2,Member,Female,5
243-47-2663,C,Rama 9,Member,Male,6
841-18-8232,B,Rama 2,Normal,Female,10
701-23-5550,B,Rama 2,Member,Male,5
647-50-1224,A,Sukhumvit,Normal,Female,9
541-48-8554,A,Sukhumvit,Normal,Male,6
539-21-7227,B,Rama 2,Normal,Female,5
213-32-1216,A,Sukhumvit,Normal,Female,8
747-58-7183,B,Rama 2,Normal,Male,7
582-52-8065,B,Rama 2,Normal,Female,9
210-57-1719,B,Rama 2,Normal,Female,10
399-69-4630,C,Rama 9,Normal,Male,9
134-75-2619,A,Sukhumvit,Member,Male,7
356-44-8813,B,Rama 2,Normal,Male,8
198-66-9832,B,Rama 2,Member,Female,10
283-26-5248,C,Rama 9,Member,Female,5
712-39-0363,A,Sukhumvit,Member,Male,6
218-59-9410,A,Sukhumvit,Member,Female,9
174-75-0888,B,Rama 2,Normal,Male,8
866-99-7614,C,Rama 9,Normal,Male,5
134-54-4720,B,Rama 2,Normal,Female,6
760-90-2357,A,Sukhumvit,Member,Male,5
514-37-2845,B,Rama 2,Normal,Male,9
698-98-5964,A,Sukhumvit,Normal,Female,7
718-57-9773,C,Rama 9,Normal,Female,10
651-88-7328,A,Sukhumvit,Normal,Female,8
241-11-2261,B,Rama 2,Normal,Female,6
408-26-9866,C,Rama 9,Normal,Female,5
834-83-1826,B,Rama 2,Member,Female,8
343-61-3544,B,Rama 2,Member,Male,9
239-48-4278,A,Sukhumvit,Member,Male,9
355-34-6244,B,Rama 2,Normal,Male,9
550-84-8664,A,Sukhumvit,Normal,Male,9
339-96-8318,B,Rama 2,Member,Male,7
