Invoice ID,Product line,Unit price thb,Quantity,Total thb,Date,Time,Rating
347-34-2234,Sports and travel,637.092,3,1911.276,2/3/2019,13:40,10
199-75-8169,Sports and travel,182.869,1,182.869,3/6/2019,12:27,9
853-23-2453,Health and beauty,876.175,4,3504.7,2/14/2019,14:35,8
877-22-3308,Health and beauty,183.563,4,734.252,3/13/2019,16:40,6
838-78-4295,Health and beauty,387.252,4,1549.008,2/10/2019,15:43,7
109-28-2512,Fashion accessories,1129.138,4,4516.552,1/7/2019,15:01,10
232-11-3025,Sports and travel,911.222,1,911.222,1/24/2019,10:04,7
382-03-4532,Health and beauty,212.017,3,636.051,2/2/2019,18:50,5
393-65-2792,Food and beverages,1035.101,2,2070.202,1/6/2019,12:46,10
796-12-2025,Fashion accessories,718.637,1,718.637,2/11/2019,16:19,6
510-95-6347,Food and beverages,561.446,1,561.446,3/5/2019,18:17,4
841-35-6630,Electronic accessories,878.257,1,878.257,3/9/2019,18:21,9
287-21-9091,Home and lifestyle,863.683,2,1727.366,1/22/2019,10:55,10
732-94-0499,Electronic accessories,481.983,4,1927.932,1/13/2019,17:04,6
263-10-3913,Fashion accessories,567.345,1,567.345,1/9/2019,14:20,9
381-20-0914,Fashion accessories,231.449,3,694.347,1/12/2019,15:48,6
829-49-1914,Food and beverages,906.017,2,1812.034,3/5/2019,16:24,7
756-01-7507,Health and beauty,235.96,5,1179.8,1/22/2019,18:56,6
870-72-4431,Health and beauty,1147.529,1,1147.529,1/21/2019,14:42,6
847-38-7188,Food and beverages,1118.381,5,5591.905,1/26/2019,19:56,7
480-63-2856,Food and beverages,222.774,4,891.096,1/23/2019,18:37,7
787-56-0757,Food and beverages,929.613,2,1859.226,2/23/2019,18:45,9
360-39-5055,Sports and travel,565.957,5,2829.785,3/9/2019,10:17,7
730-50-9884,Sports and travel,960.843,2,1921.686,3/5/2019,14:31,4
362-58-8315,Fashion accessories,885.197,1,885.197,3/25/2019,10:23,10
633-44-8566,Food and beverages,571.162,4,2284.648,3/27/2019,20:35,8
504-35-8843,Sports and travel,491.352,3,1474.056,1/2/2019,16:57,6
318-68-5053,Health and beauty,890.749,4,3562.996,2/27/2019,17:55,7
565-80-5980,Home and lifestyle,548.26,5,2741.3,1/23/2019,10:25,8
225-32-0908,Sports and travel,519.112,3,1557.336,1/26/2019,19:54,9
873-51-0671,Sports and travel,254.351,3,763.053,1/10/2019,16:42,6
152-08-9985,Health and beauty,744.662,2,1489.324,3/12/2019,12:09,9
512-91-0811,Health and beauty,1038.224,1,1038.224,2/6/2019,20:05,7
594-34-4444,Electronic accessories,1123.933,2,2247.866,3/8/2019,20:38,8
766-85-7061,Health and beauty,1016.363,5,5081.815,3/29/2019,10:25,6
871-39-9221,Electronic accessories,144.005,3,432.015,2/9/2019,13:11,5
865-92-6136,Food and beverages,610.373,5,3051.865,3/23/2019,10:16,10
733-01-9107,Home and lifestyle,956.679,2,1913.358,3/5/2019,18:14,8
163-56-7055,Fashion accessories,563.528,2,1127.056,3/26/2019,19:20,5
189-98-2939,Fashion accessories,908.793,4,3635.172,3/1/2019,13:22,8
551-21-3069,Electronic accessories,266.843,1,266.843,2/1/2019,11:27,5
212-62-1842,Food and beverages,673.874,5,3369.37,3/28/2019,16:44,10
716-39-1409,Health and beauty,351.164,3,1053.492,3/19/2019,18:19,8
704-48-3927,Electronic accessories,1025.732,4,4102.928,1/12/2019,14:50,8
628-34-3388,Fashion accessories,316.811,3,950.433,1/5/2019,20:54,8
630-74-5166,Sports and travel,718.637,3,2155.911,3/22/2019,20:19,8
588-01-7461,Food and beverages,393.151,3,1179.453,3/24/2019,10:43,5
861-77-0145,Electronic accessories,948.351,4,3793.404,3/3/2019,14:30,10
479-26-8945,Sports and travel,190.85,4,763.4,2/5/2019,11:32,5
210-67-5886,Health and beauty,1136.078,5,5680.39,2/5/2019,10:41,8
227-78-1148,Fashion accessories,842.516,4,3370.064,2/15/2019,12:44,9
645-44-1170,Home and lifestyle,671.792,2,1343.584,1/19/2019,20:07,5
237-01-6122,Home and lifestyle,934.471,1,934.471,2/1/2019,20:31,10
225-98-1496,Fashion accessories,312.647,5,1563.235,3/2/2019,13:01,8
291-32-1427,Fashion accessories,254.004,3,762.012,3/5/2019,12:29,6
659-65-8956,Fashion accessories,594.064,2,1188.128,1/16/2019,15:26,6
642-32-2990,Food and beverages,127.002,2,254.004,2/2/2019,20:48,6
378-24-2715,Home and lifestyle,618.354,5,3091.77,1/20/2019,20:38,5
638-60-7125,Electronic accessories,1151.693,5,5758.465,2/14/2019,17:03,6
659-36-1684,Sports and travel,660.688,1,660.688,1/12/2019,12:02,7
219-22-9386,Sports and travel,1156.204,3,3468.612,3/9/2019,17:26,5
336-78-2147,Home and lifestyle,739.457,4,2957.828,3/13/2019,19:52,5
268-27-6179,Fashion accessories,653.401,2,1306.802,3/9/2019,14:57,8
668-90-8900,Home and lifestyle,1083.681,3,3251.043,3/10/2019,18:44,5
870-54-3162,Sports and travel,373.025,3,1119.075,1/27/2019,13:26,9
189-08-9157,Fashion accessories,367.126,2,734.252,1/8/2019,16:17,6
663-86-9076,Food and beverages,792.895,3,2378.685,1/8/2019,15:57,9
549-84-7482,Sports and travel,1044.47,4,4177.88,2/8/2019,11:15,8
191-10-6171,Fashion accessories,458.387,3,1375.161,1/25/2019,13:18,8
802-70-5316,Sports and travel,1065.637,1,1065.637,3/6/2019,20:34,9
695-51-0018,Sports and travel,403.214,3,1209.642,2/10/2019,18:36,8
590-83-4591,Electronic accessories,1011.505,3,3034.515,2/17/2019,14:40,9
483-71-1164,Health and beauty,940.37,3,2821.11,3/8/2019,16:43,6
597-78-7908,Fashion accessories,1043.776,3,3131.328,2/18/2019,19:39,7
700-81-1757,Electronic accessories,304.319,4,1217.276,1/18/2019,20:59,9
354-39-5160,Home and lifestyle,398.356,4,1593.424,2/18/2019,15:39,10
241-72-9525,Sports and travel,600.657,3,1801.971,2/16/2019,12:21,9
575-30-8091,Sports and travel,838.699,4,3354.796,3/16/2019,19:25,10
731-81-9469,Sports and travel,1038.918,2,2077.836,1/23/2019,13:00,6
280-17-4359,Health and beauty,1046.899,1,1046.899,1/25/2019,13:48,9
338-65-2210,Health and beauty,793.589,5,3967.945,2/5/2019,19:57,10
488-25-4221,Food and beverages,351.858,3,1055.574,2/22/2019,10:36,9
239-10-7476,Home and lifestyle,901.853,5,4509.265,1/21/2019,16:37,8
458-41-1477,Health and beauty,535.074,3,1605.222,3/8/2019,17:11,10
685-64-1609,Fashion accessories,348.735,1,348.735,2/10/2019,12:28,10
568-90-5112,Health and beauty,765.135,5,3825.675,3/19/2019,12:46,6
262-47-2794,Home and lifestyle,831.412,2,1662.824,3/6/2019,15:07,7
238-49-0436,Health and beauty,375.454,3,1126.362,3/27/2019,13:48,5
608-96-3517,Fashion accessories,1059.044,2,2118.088,3/23/2019,19:20,5
584-86-7256,Sports and travel,399.744,2,799.488,3/11/2019,16:07,8
746-94-0204,Fashion accessories,962.925,2,1925.85,1/29/2019,11:56,8
214-17-6927,Food and beverages,190.85,5,954.25,2/7/2019,18:23,10
400-89-4171,Sports and travel,936.553,4,3746.212,1/28/2019,13:05,10
782-95-9291,Food and beverages,1067.719,5,5338.595,2/20/2019,15:55,9
279-74-2924,Electronic accessories,834.882,4,3339.528,1/4/2019,19:40,7
307-85-2293,Home and lifestyle,581.572,1,581.572,3/7/2019,13:58,10
743-04-1105,Health and beauty,1124.627,2,2249.254,3/30/2019,14:43,6
423-57-2993,Sports and travel,1080.211,5,5401.055,3/27/2019,19:18,10
894-41-5205,Food and beverages,499.68,1,499.68,1/19/2019,19:39,9
275-28-0149,Sports and travel,736.681,1,736.681,2/25/2019,16:21,6
101-17-6199,Food and beverages,529.869,2,1059.738,3/13/2019,19:44,7
423-80-0988,Sports and travel,883.809,5,4419.045,1/30/2019,19:42,7
548-46-9322,Food and beverages,461.51,3,1384.53,2/20/2019,15:24,6
505-02-0892,Health and beauty,492.393,2,984.786,2/25/2019,14:12,6
234-65-2137,Home and lifestyle,1105.542,4,4422.168,1/16/2019,13:32,5
687-47-8271,Fashion accessories,1145.1,1,1145.1,2/8/2019,16:20,9
796-32-9050,Food and beverages,593.37,3,1780.11,1/19/2019,16:31,7
105-31-1824,Sports and travel,804.346,2,1608.692,2/1/2019,15:10,9
249-42-3782,Health and beauty,809.898,3,2429.694,1/3/2019,11:36,6
316-55-4634,Food and beverages,926.143,3,2778.429,1/26/2019,12:45,10
733-33-4967,Electronic accessories,241.165,1,241.165,3/3/2019,19:17,7
608-27-6295,Electronic accessories,611.761,1,611.761,1/19/2019,17:34,10
414-12-7047,Food and beverages,229.02,1,229.02,1/18/2019,12:04,9
827-26-2100,Home and lifestyle,391.416,4,1565.664,3/21/2019,16:21,9
175-54-2529,Food and beverages,256.433,2,512.866,3/3/2019,17:01,10
139-52-2867,Fashion accessories,260.597,3,781.791,2/13/2019,10:50,5
407-63-8975,Food and beverages,854.661,3,2563.983,3/23/2019,19:16,5
342-65-4817,Health and beauty,1004.218,4,4016.872,1/28/2019,16:47,10
130-98-8941,Fashion accessories,743.274,2,1486.548,2/9/2019,10:00,6
434-83-9547,Food and beverages,445.201,1,445.201,1/23/2019,11:51,8
851-28-6367,Sports and travel,179.399,2,358.798,3/23/2019,10:55,8
824-88-3614,Health and beauty,396.968,4,1587.872,1/25/2019,15:00,6
586-25-0848,Sports and travel,142.964,3,428.892,3/4/2019,11:19,7
895-66-0685,Food and beverages,209.241,5,1046.205,3/5/2019,19:46,8
305-14-0245,Home and lifestyle,1093.05,5,5465.25,3/3/2019,19:00,8
732-04-5373,Home and lifestyle,537.503,2,1075.006,2/8/2019,10:53,7
400-60-7251,Home and lifestyle,856.743,4,3426.972,2/10/2019,12:50,10
593-65-1552,Home and lifestyle,807.469,3,2422.407,1/28/2019,20:50,6
284-34-9626,Home and lifestyle,891.096,2,1782.192,2/11/2019,10:39,8
437-58-8131,Fashion accessories,850.497,4,3401.988,1/15/2019,13:41,5
286-43-6208,Food and beverages,1015.669,4,4062.676,3/16/2019,19:08,10
641-43-2399,Home and lifestyle,295.644,3,886.932,1/26/2019,20:23,6
831-07-6050,Electronic accessories,378.577,2,757.154,3/19/2019,11:30,10
556-86-3144,Fashion accessories,859.519,5,4297.595,1/13/2019,19:30,5
848-24-9445,Health and beauty,505.579,2,1011.158,3/26/2019,18:03,5
856-22-8149,Home and lifestyle,292.521,1,292.521,3/23/2019,10:13,7
699-01-4164,Health and beauty,480.248,4,1920.992,3/12/2019,19:58,9
420-11-4919,Food and beverages,825.86,3,2477.58,2/17/2019,19:57,6
606-80-4905,Sports and travel,221.733,1,221.733,1/29/2019,10:01,7
542-41-0513,Electronic accessories,665.199,4,2660.796,3/15/2019,11:57,7
426-39-2418,Electronic accessories,710.309,3,2130.927,1/14/2019,10:02,10
875-46-5808,Health and beauty,299.808,1,299.808,2/6/2019,14:51,9
394-43-4238,Home and lifestyle,205.771,4,823.084,2/15/2019,12:42,6
749-24-1565,Health and beauty,266.496,2,532.992,1/3/2019,12:02,8
672-51-8681,Electronic accessories,771.034,1,771.034,1/4/2019,18:19,10
263-87-5680,Home and lifestyle,329.997,1,329.997,3/18/2019,17:38,8
573-58-9734,Fashion accessories,351.511,4,1406.044,3/28/2019,13:41,6
817-69-8206,Electronic accessories,1153.775,2,2307.55,3/2/2019,19:42,7
888-02-0338,Electronic accessories,303.625,2,607.25,1/25/2019,20:24,6
677-11-0152,Food and beverages,1078.823,5,5394.115,1/16/2019,18:08,9
142-63-6033,Home and lifestyle,1068.413,4,4273.652,3/20/2019,19:17,5
656-16-1063,Sports and travel,537.156,2,1074.312,1/4/2019,13:24,5
891-58-8335,Sports and travel,342.489,1,342.489,3/11/2019,15:53,7
802-43-8934,Home and lifestyle,211.67,4,846.68,3/22/2019,15:05,9
560-30-5617,Sports and travel,286.622,3,859.866,3/24/2019,18:27,9
319-74-2561,Electronic accessories,1094.785,1,1094.785,2/21/2019,16:55,6
549-03-9315,Fashion accessories,1097.561,1,1097.561,2/12/2019,12:58,9
790-29-1172,Food and beverages,663.464,5,3317.32,3/10/2019,18:59,8
239-36-3640,Electronic accessories,524.664,1,524.664,1/31/2019,13:44,7
468-01-2051,Food and beverages,718.29,2,1436.58,3/6/2019,13:46,6
389-25-3394,Electronic accessories,136.718,3,410.154,2/17/2019,18:06,10
279-62-1445,Fashion accessories,145.046,1,145.046,2/21/2019,12:38,9
213-72-6612,Food and beverages,500.374,1,500.374,3/20/2019,15:56,7
746-68-6593,Sports and travel,1008.382,5,5041.91,1/11/2019,14:29,10
836-82-5858,Health and beauty,802.611,4,3210.444,1/26/2019,19:14,4
583-72-1480,Electronic accessories,428.892,4,1715.568,1/31/2019,16:24,10
466-61-5506,Electronic accessories,1049.328,5,5246.64,2/26/2019,10:52,6
721-86-6247,Home and lifestyle,733.558,4,2934.232,3/11/2019,12:55,8
289-65-5721,Fashion accessories,941.411,3,2824.233,1/26/2019,19:28,7
545-46-3100,Electronic accessories,122.491,4,489.964,3/12/2019,13:52,9
418-02-5978,Health and beauty,972.641,4,3890.564,2/11/2019,10:54,8
269-04-5750,Fashion accessories,853.967,3,2561.901,2/21/2019,18:31,7
157-13-5295,Health and beauty,601.004,2,1202.008,3/9/2019,18:24,7
645-78-8093,Sports and travel,1077.435,2,2154.87,1/20/2019,18:09,5
211-30-9270,Health and beauty,201.607,3,604.821,1/28/2019,15:16,5
755-12-3214,Fashion accessories,511.478,1,511.478,3/5/2019,17:07,9
346-84-3103,Electronic accessories,153.027,3,459.081,3/2/2019,19:26,5
478-06-7835,Fashion accessories,1037.53,5,5187.65,1/11/2019,11:20,5
540-11-4336,Food and beverages,288.704,1,288.704,1/11/2019,16:49,6
448-81-5016,Health and beauty,691.571,2,1383.142,3/11/2019,12:01,6
142-72-4741,Fashion accessories,1078.129,2,2156.258,2/28/2019,18:37,6
217-58-1179,Home and lifestyle,724.883,5,3624.415,1/5/2019,11:25,5
376-02-8238,Home and lifestyle,1085.763,3,3257.289,2/2/2019,18:42,9
530-90-9855,Home and lifestyle,550.689,4,2202.756,1/1/2019,14:47,6
866-05-7563,Electronic accessories,941.758,5,4708.79,2/9/2019,19:43,5
604-70-6476,Fashion accessories,207.506,5,1037.53,1/23/2019,14:04,7
799-71-1548,Electronic accessories,899.077,1,899.077,1/7/2019,16:11,9
785-13-7708,Food and beverages,845.292,1,845.292,1/14/2019,19:06,5
845-51-0542,Food and beverages,538.544,3,1615.632,2/2/2019,15:34,7
662-47-5456,Fashion accessories,407.031,1,407.031,3/17/2019,19:06,9
883-17-4236,Sports and travel,166.56,4,666.24,3/2/2019,19:44,8
290-68-2984,Home and lifestyle,274.824,3,824.472,3/16/2019,11:22,6
704-11-6354,Home and lifestyle,681.508,4,2726.032,1/6/2019,11:23,9
110-48-7033,Fashion accessories,377.536,1,377.536,1/29/2019,14:12,9
366-93-0948,Electronic accessories,767.564,4,3070.256,1/31/2019,10:46,10
729-09-9681,Home and lifestyle,299.808,5,1499.04,2/5/2019,10:16,9
151-16-1484,Electronic accessories,373.025,1,373.025,2/13/2019,12:38,7
380-94-4661,Electronic accessories,762.706,4,3050.824,2/7/2019,13:05,7
850-41-9669,Electronic accessories,868.194,2,1736.388,3/19/2019,13:25,7
821-07-3596,Fashion accessories,190.503,2,381.006,3/7/2019,14:53,6
655-85-5130,Fashion accessories,443.119,3,1329.357,3/13/2019,19:22,6
447-15-7839,Sports and travel,257.474,1,257.474,2/9/2019,11:00,5
154-74-7179,Sports and travel,629.805,1,629.805,2/26/2019,19:24,8
253-12-6086,Sports and travel,1138.16,3,3414.48,3/12/2019,12:43,9
808-65-0703,Home and lifestyle,410.501,5,2052.505,3/14/2019,17:22,7
571-94-0759,Food and beverages,862.989,3,2588.967,1/8/2019,20:55,10
144-51-6085,Home and lifestyle,818.226,4,3272.904,1/5/2019,16:05,5
731-14-2199,Home and lifestyle,411.195,1,411.195,1/4/2019,13:34,7
783-09-1637,Sports and travel,780.056,4,3120.224,3/6/2019,18:13,7
687-15-1097,Health and beauty,244.288,2,488.576,1/3/2019,19:17,10
126-54-1082,Home and lifestyle,249.146,3,747.438,1/7/2019,11:44,9
633-91-1052,Home and lifestyle,139.147,4,556.588,1/27/2019,15:51,6
477-24-6490,Health and beauty,1153.428,1,1153.428,2/26/2019,16:52,8
566-19-5475,Fashion accessories,554.853,3,1664.559,1/7/2019,20:52,7
526-86-8552,Home and lifestyle,252.616,5,1263.08,1/7/2019,17:36,8
376-56-3573,Fashion accessories,1103.807,5,5519.035,2/2/2019,13:23,7
537-72-0426,Fashion accessories,821.349,3,2464.047,3/20/2019,16:28,6
828-61-5674,Sports and travel,509.396,3,1528.188,3/20/2019,19:57,10
136-08-6195,Home and lifestyle,809.204,5,4046.02,2/15/2019,17:01,7
523-38-0215,Home and lifestyle,428.198,3,1284.594,3/6/2019,13:29,8
490-29-1201,Sports and travel,177.664,2,355.328,1/6/2019,11:09,7
667-92-0055,Health and beauty,1154.816,5,5774.08,3/4/2019,15:02,9
565-17-3836,Health and beauty,551.383,3,1654.149,3/12/2019,14:21,10
498-41-1961,Health and beauty,771.381,3,2314.143,2/20/2019,18:01,8
593-95-4461,Home and lifestyle,866.112,2,1732.224,3/24/2019,14:49,7
226-71-3580,Sports and travel,274.824,5,1374.12,1/31/2019,12:02,10
283-79-9594,Food and beverages,561.099,2,1122.198,1/25/2019,13:30,6
430-60-3493,Home and lifestyle,1097.561,5,5487.805,2/3/2019,14:38,5
139-20-0155,Electronic accessories,466.368,3,1399.104,1/24/2019,17:37,7
558-80-4082,Electronic accessories,322.363,1,322.363,3/14/2019,17:20,6
278-97-7759,Electronic accessories,722.801,2,1445.602,2/18/2019,20:29,5
316-68-6352,Food and beverages,420.564,2,841.128,1/21/2019,10:00,8
585-03-5943,Health and beauty,209.588,3,628.764,3/13/2019,11:46,6
211-05-0490,Electronic accessories,600.657,5,3003.285,3/3/2019,13:42,8
727-75-6477,Electronic accessories,333.814,3,1001.442,3/29/2019,14:44,7
744-02-5987,Home and lifestyle,906.711,5,4533.555,1/10/2019,14:16,6
307-83-9164,Home and lifestyle,694.347,2,1388.694,1/25/2019,15:54,5
779-06-0012,Home and lifestyle,1025.038,4,4100.152,1/19/2019,10:21,8
446-47-6729,Fashion accessories,1154.816,2,2309.632,1/2/2019,18:09,7
573-10-3877,Health and beauty,451.447,1,451.447,3/12/2019,16:46,5
735-06-4124,Food and beverages,562.487,3,1687.461,2/25/2019,15:31,5
439-54-7422,Electronic accessories,592.329,4,2369.316,3/18/2019,17:15,5
396-90-2219,Electronic accessories,173.153,1,173.153,2/23/2019,12:29,9
411-77-0180,Electronic accessories,835.229,4,3340.916,3/26/2019,20:14,5
286-01-5402,Sports and travel,465.327,2,930.654,3/30/2019,13:22,10
803-17-8013,Home and lifestyle,1027.12,3,3081.36,2/17/2019,17:09,5
512-98-1403,Electronic accessories,306.401,5,1532.005,3/21/2019,10:40,5
848-42-2560,Fashion accessories,947.657,1,947.657,3/5/2019,17:43,8
532-59-7201,Sports and travel,924.755,2,1849.51,1/31/2019,14:04,6
181-94-6432,Fashion accessories,801.917,4,3207.668,2/5/2019,19:05,10
870-76-1733,Food and beverages,164.825,1,164.825,2/1/2019,10:08,5
423-64-4619,Health and beauty,180.093,1,180.093,3/7/2019,13:12,5
227-07-4446,Electronic accessories,903.935,2,1807.87,2/10/2019,20:51,5
174-36-3675,Food and beverages,1149.611,3,3448.833,2/14/2019,17:29,6
428-83-5800,Food and beverages,243.941,5,1219.705,2/9/2019,10:25,8
603-07-0961,Electronic accessories,865.071,3,2595.213,1/10/2019,11:34,5
704-20-4138,Health and beauty,343.183,3,1029.549,3/11/2019,18:58,9
787-15-1757,Health and beauty,509.743,5,2548.715,2/18/2019,16:28,9
649-11-3678,Food and beverages,265.455,5,1327.275,2/26/2019,20:26,6
622-20-1945,Health and beauty,455.958,4,1823.832,1/18/2019,15:08,9
372-94-8041,Health and beauty,176.623,4,706.492,2/15/2019,18:03,10
563-91-7120,Fashion accessories,714.473,2,1428.946,3/8/2019,13:21,7
746-54-5508,Home and lifestyle,249.146,3,747.438,1/17/2019,12:48,10
276-54-0879,Sports and travel,1130.526,2,2261.052,3/12/2019,19:53,7
815-11-1168,Food and beverages,1154.122,2,2308.244,3/9/2019,19:09,6
719-76-3868,Food and beverages,1090.274,3,3270.822,3/12/2019,16:30,9
730-61-8757,Health and beauty,591.635,2,1183.27,1/25/2019,10:11,4
340-66-0321,Electronic accessories,420.564,2,841.128,3/25/2019,13:07,8
868-81-1752,Home and lifestyle,254.698,2,509.396,2/7/2019,18:48,7
634-97-8956,Food and beverages,380.659,3,1141.977,2/17/2019,17:27,10
566-71-1091,Fashion accessories,891.096,2,1782.192,2/3/2019,15:59,6
442-48-3607,Food and beverages,271.701,2,543.402,3/14/2019,11:21,8
835-16-0096,Sports and travel,170.03,4,680.12,3/24/2019,13:48,9
527-09-6272,Electronic accessories,329.303,5,1646.515,3/21/2019,10:17,10
898-04-2717,Fashion accessories,883.809,4,3535.236,3/19/2019,15:49,8
692-27-8933,Sports and travel,670.404,2,1340.808,2/24/2019,13:02,6
633-09-3463,Electronic accessories,551.383,4,2205.532,3/28/2019,12:58,10
374-17-3652,Food and beverages,495.516,2,991.032,2/5/2019,15:26,9
378-07-7001,Electronic accessories,556.241,2,1112.482,2/10/2019,18:23,8
433-75-6987,Health and beauty,647.502,2,1295.004,3/5/2019,19:06,9
873-95-4984,Health and beauty,889.708,5,4448.54,2/15/2019,20:21,8
416-13-5917,Food and beverages,1122.545,2,2245.09,1/30/2019,16:24,10
150-89-8043,Sports and travel,516.683,4,2066.732,2/14/2019,15:04,7
135-84-8019,Fashion accessories,901.506,2,1803.012,2/27/2019,16:10,8
441-94-7118,Electronic accessories,832.453,1,832.453,2/4/2019,12:14,8
725-96-3778,Home and lifestyle,1032.325,2,2064.65,1/20/2019,10:13,5
531-80-1784,Electronic accessories,301.196,4,1204.784,3/28/2019,17:38,6
400-45-1220,Health and beauty,156.15,1,156.15,2/27/2019,11:06,5
860-79-0874,Fashion accessories,1148.57,2,2297.14,2/15/2019,14:53,7
834-61-8124,Electronic accessories,597.881,5,2989.405,1/26/2019,18:22,6
115-99-4379,Fashion accessories,633.275,4,2533.1,3/14/2019,19:02,9
565-67-6697,Home and lifestyle,312.3,2,624.6,3/2/2019,14:16,5
320-49-6392,Electronic accessories,349.776,4,1399.104,3/4/2019,15:44,9
889-04-9723,Food and beverages,1031.284,5,5156.42,1/7/2019,12:20,8
632-90-0281,Fashion accessories,434.444,4,1737.776,3/8/2019,20:01,10
554-42-2417,Sports and travel,1104.154,5,5520.77,1/9/2019,13:45,6
453-63-6187,Electronic accessories,318.199,5,1590.995,3/1/2019,15:40,7
578-80-7669,Sports and travel,867.153,1,867.153,3/16/2019,16:58,6
612-36-5536,Food and beverages,936.553,3,2809.659,2/17/2019,11:12,8
